contigID	sample	contig	BGC category	BGC product	core start	core end	NRPS	PKS	RiPP	other	terpene
ERR594312_k141_471973	ERR594312	k141_471973	other	acyl_amino_acids	10287	11520	0	0	0	1	0
ERR594312_k141_629238	ERR594312	k141_629238	RiPP	RiPP-like	1	1867	0	0	1	0	0
ERR594312_k141_786276	ERR594312	k141_786276	other	acyl_amino_acids	6592	7828	0	0	0	1	0
ERR594312_k141_681425	ERR594312	k141_681425	NRPS	NRPS	2500	6586	1	0	0	0	0
ERR594312_k141_788946	ERR594312	k141_788946	RiPP	RiPP-like	56631	57564	0	0	1	0	0
ERR594312_k141_423457	ERR594312	k141_423457	RiPP	RRE-containing	4077	7194	0	0	1	0	0
ERR594312_k141_842018	ERR594312	k141_842018	RiPP	RiPP-like	10677	12957	0	0	1	0	0
ERR594312_k141_789098	ERR594312	k141_789098	other	hydrogen-cyanide	201250	204182	0	0	0	1	0
ERR594312_k141_371475	ERR594312	k141_371475	RiPP	RiPP-like	168894	171111	0	0	1	0	0
ERR594312_k141_163031	ERR594312	k141_163031	other	ectoine	16170	16569	0	0	0	1	0
ERR594312_k141_268735	ERR594312	k141_268735	other	phosphonate	13996	31991	0	0	0	1	0
ERR594312_k141_892558	ERR594312	k141_892558	terpene	terpene	1179185	1179980	0	0	0	0	1
ERR594312_k141_634460	ERR594312	k141_634460	PKS	arylpolyene	52112	55687	0	1	0	0	0
ERR594312_k141_373508	ERR594312	k141_373508	RiPP	RiPP-like	35195	36185	0	0	1	0	0
ERR594312_k141_739687	ERR594312	k141_739687	other	NI-siderophore	1290	5197	0	0	0	1	0
ERR594312_k141_740359	ERR594312	k141_740359	other	NI-siderophore	11808	33730	0	0	0	1	0
ERR594312_k141_374778	ERR594312	k141_374778	RiPP	RiPP-like	49919	50765	0	0	1	0	0
ERR594312_k141_531863	ERR594312	k141_531863	other	acyl_amino_acids	8379	9639	0	0	0	1	0
ERR594312_k141_8772	ERR594312	k141_8772	RiPP	RiPP-like	684125	685004	0	0	1	0	0
