contigID	sample	contig	BGC category	BGC product	core start	core end	NRPS	PKS	RiPP	other	terpene
SRR3719657_k141_844930	SRR3719657	k141_844930	RiPP	RiPP-like	54698	55553	0	0	1	0	0
SRR3719657_k141_1783736	SRR3719657	k141_1783736	RiPP	RRE-containing	6027	6666	0	0	1	0	0
SRR3719657_k141_751861	SRR3719657	k141_751861	terpene	terpene	5231	7134	0	0	0	0	1
SRR3719657_k141_1784155	SRR3719657	k141_1784155	PKS	T3PKS	4934	5963	0	1	0	0	0
SRR3719657_k141_1315845	SRR3719657	k141_1315845	other	phosphonate	24106	26553	0	0	0	1	0
SRR3719657_k141_471297	SRR3719657	k141_471297	RiPP	RRE-containing	14172	14484	0	0	1	0	0
SRR3719657_k141_283800	SRR3719657	k141_283800	other	betalactone	55712	62133	0	0	0	1	0
SRR3719657_k141_96441	SRR3719657	k141_96441	RiPP	RiPP-like	20921	21770	0	0	1	0	0
SRR3719657_k141_1692244	SRR3719657	k141_1692244	PKS	T1PKS	11234	16346	0	1	0	0	0
SRR3719657_k141_3740	SRR3719657	k141_3740	other	phosphonate	5918	19732	0	0	0	1	0
SRR3719657_k141_1129681	SRR3719657	k141_1129681	RiPP	RRE-containing	11341	11725	0	0	1	0	0
SRR3719657_k141_1505716	SRR3719657	k141_1505716	RiPP	RiPP-like	29169	31011	0	0	1	0	0
SRR3719657_k141_1037094	SRR3719657	k141_1037094	terpene	terpene	4404	5253	0	0	0	0	1
SRR3719657_k141_1695057	SRR3719657	k141_1695057	RiPP	RRE-containing	7585	8227	0	0	1	0	0
SRR3719657_k141_1037909	SRR3719657	k141_1037909	terpene	terpene	24001	25294	0	0	0	0	1
SRR3719657_k141_755913	SRR3719657	k141_755913	other	phosphonate	81	7208	0	0	0	1	0
SRR3719657_k141_569884	SRR3719657	k141_569884	PKS	T3PKS	3032	4190	0	1	0	0	0
SRR3719657_k141_1415438	SRR3719657	k141_1415438	terpene	terpene	2	3169	0	0	0	0	1
SRR3719657_k141_571025	SRR3719657	k141_571025	other	hydrogen-cyanide	557	10820	0	0	0	1	0
SRR3719657_k141_195291	SRR3719657	k141_195291	terpene	terpene	135480	137769	0	0	0	0	1
SRR3719657_k141_9408	SRR3719657	k141_9408	RiPP	RRE-containing	965	1607	0	0	1	0	0
SRR3719657_k141_1322644	SRR3719657	k141_1322644	other	hydrogen-cyanide	4427	7232	0	0	0	1	0
SRR3719657_k141_1605408	SRR3719657	k141_1605408	terpene	terpene	4007	5910	0	0	0	0	1
SRR3719657_k141_1230751	SRR3719657	k141_1230751	terpene	terpene	14401	15379	0	0	0	0	1
SRR3719657_k141_1699927	SRR3719657	k141_1699927	terpene	terpene	53795	56167	0	0	0	0	1
SRR3719657_k141_480739	SRR3719657	k141_480739	RiPP	proteusin	0	222	0	0	1	0	0
SRR3719657_k141_574504	SRR3719657	k141_574504	NRPS	NRPS-like	5666	7730	1	0	0	0	0
SRR3719657_k141_574530	SRR3719657	k141_574530	RiPP	LAP	283	4001	0	0	1	0	0
SRR3719657_k141_949782	SRR3719657	k141_949782	NRPS	NRPS	174	13970	1	0	0	0	0
SRR3719657_k141_949782	SRR3719657	k141_949782	NRPS	NRPS	174	13970	1	0	0	0	0
SRR3719657_k141_949782	SRR3719657	k141_949782	NRPS	NRPS	174	13970	1	0	0	0	0
SRR3719657_k141_14079	SRR3719657	k141_14079	terpene	terpene	1864	3767	0	0	0	0	1
SRR3719657_k141_1515541	SRR3719657	k141_1515541	NRPS	NRPS	11708	19961	1	0	0	0	0
SRR3719657_k141_1515541	SRR3719657	k141_1515541	NRPS	NRPS	11708	19961	1	0	0	0	0
SRR3719657_k141_1515541	SRR3719657	k141_1515541	NRPS	NRPS	11708	19961	1	0	0	0	0
SRR3719657_k141_951490	SRR3719657	k141_951490	RiPP	redox-cofactor	172401	174606	0	0	1	0	0
SRR3719657_k141_951490	SRR3719657	k141_951490	terpene	terpene	202708	204405	0	0	0	0	1
SRR3719657_k141_1517042	SRR3719657	k141_1517042	RiPP	RRE-containing	5406	5655	0	0	1	0	0
SRR3719657_k141_1706456	SRR3719657	k141_1706456	RiPP	RRE-containing	18840	19110	0	0	1	0	0
SRR3719657_k141_1049390	SRR3719657	k141_1049390	terpene	terpene	2513	4428	0	0	0	0	1
SRR3719657_k141_1706972	SRR3719657	k141_1706972	other	phosphonate	4641	8197	0	0	0	1	0
SRR3719657_k141_1519482	SRR3719657	k141_1519482	RiPP	RRE-containing	9206	9482	0	0	1	0	0
SRR3719657_k141_1803388	SRR3719657	k141_1803388	RiPP	RiPP-like	4367	6083	0	0	1	0	0
SRR3719657_k141_1711228	SRR3719657	k141_1711228	other	phosphonate	0	9280	0	0	0	1	0
SRR3719657_k141_1148198	SRR3719657	k141_1148198	terpene	terpene	66004	68388	0	0	0	0	1
SRR3719657_k141_493482	SRR3719657	k141_493482	terpene	terpene	4997	10036	0	0	0	0	1
SRR3719657_k141_493482	SRR3719657	k141_493482	terpene	terpene	4997	10036	0	0	0	0	1
SRR3719657_k141_773998	SRR3719657	k141_773998	other	betalactone	5282	14703	0	0	0	1	0
SRR3719657_k141_870514	SRR3719657	k141_870514	terpene	terpene	6845	7685	0	0	0	0	1
SRR3719657_k141_309574	SRR3719657	k141_309574	other	betalactone	1223	7006	0	0	0	1	0
SRR3719657_k141_1249003	SRR3719657	k141_1249003	other	betalactone	0	6474	0	0	0	1	0
SRR3719657_k141_1436902	SRR3719657	k141_1436902	PKS	arylpolyene	9375	15965	0	1	0	0	0
SRR3719657_k141_498761	SRR3719657	k141_498761	other	phosphonate	200	12981	0	0	0	1	0
SRR3719657_k141_498761	SRR3719657	k141_498761	other	phosphonate	200	12981	0	0	0	1	0
SRR3719657_k141_403892	SRR3719657	k141_403892	other	betalactone	30846	34401	0	0	0	1	0
SRR3719657_k141_1344691	SRR3719657	k141_1344691	other	phosphonate	501	9734	0	0	0	1	0
SRR3719657_k141_126058	SRR3719657	k141_126058	terpene	terpene	4122	5073	0	0	0	0	1
SRR3719657_k141_32760	SRR3719657	k141_32760	RiPP	RRE-containing	48696	49002	0	0	1	0	0
SRR3719657_k141_689384	SRR3719657	k141_689384	other	betalactone	2	5902	0	0	0	1	0
SRR3719657_k141_969686	SRR3719657	k141_969686	PKS	arylpolyene	16740	19829	0	1	0	0	0
SRR3719657_k141_314151	SRR3719657	k141_314151	other	betalactone	8095	17518	0	0	0	1	0
SRR3719657_k141_127518	SRR3719657	k141_127518	terpene	terpene	90204	93773	0	0	0	0	1
SRR3719657_k141_692129	SRR3719657	k141_692129	other	phosphonate	511	7743	0	0	0	1	0
SRR3719657_k141_878246	SRR3719657	k141_878246	terpene	terpene	8950	9727	0	0	0	0	1
SRR3719657_k141_1536797	SRR3719657	k141_1536797	RiPP	ranthipeptide	942	11464	0	0	1	0	0
SRR3719657_k141_1726539	SRR3719657	k141_1726539	other	phosphonate	8067	10987	0	0	0	1	0
SRR3719657_k141_600433	SRR3719657	k141_600433	terpene	terpene	8579	10556	0	0	0	0	1
SRR3719657_k141_38980	SRR3719657	k141_38980	other	other	4590	5832	0	0	0	1	0
SRR3719657_k141_1540161	SRR3719657	k141_1540161	PKS	arylpolyene	1802	6141	0	1	0	0	0
SRR3719657_k141_1446392	SRR3719657	k141_1446392	other	phosphonate	608	2342	0	0	0	1	0
SRR3719657_k141_414304	SRR3719657	k141_414304	other	betalactone	6570	15631	0	0	0	1	0
SRR3719657_k141_884627	SRR3719657	k141_884627	other	hserlactone	12748	13378	0	0	0	1	0
SRR3719657_k141_884704	SRR3719657	k141_884704	other	hydrogen-cyanide	9970	14072	0	0	0	1	0
SRR3719657_k141_1636150	SRR3719657	k141_1636150	other	phosphonate	2	3275	0	0	0	1	0
SRR3719657_k141_42942	SRR3719657	k141_42942	RiPP	LAP	3588	12864	0	0	1	0	0
SRR3719657_k141_415570	SRR3719657	k141_415570	other	phosphonate	14430	27164	0	0	0	1	0
SRR3719657_k141_415570	SRR3719657	k141_415570	other	phosphonate	14430	27164	0	0	0	1	0
SRR3719657_k141_980194	SRR3719657	k141_980194	terpene	terpene	13443	14475	0	0	0	0	1
SRR3719657_k141_1734460	SRR3719657	k141_1734460	RiPP	RiPP-like	4422	6258	0	0	1	0	0
SRR3719657_k141_230428	SRR3719657	k141_230428	PKS	T1PKS	12407	49545	0	1	0	0	0
SRR3719657_k141_230428	SRR3719657	k141_230428	PKS	T1PKS	12407	49545	0	1	0	0	0
SRR3719657_k141_230428	SRR3719657	k141_230428	PKS	T1PKS	12407	49545	0	1	0	0	0
SRR3719657_k141_795050	SRR3719657	k141_795050	terpene	terpene	13555	14875	0	0	0	0	1
SRR3719657_k141_701835	SRR3719657	k141_701835	other	nucleoside	6692	7514	0	0	0	1	0
SRR3719657_k141_1265645	SRR3719657	k141_1265645	RiPP	RRE-containing	13493	13796	0	0	1	0	0
SRR3719657_k141_46875	SRR3719657	k141_46875	NRPS	NRPS	2	13246	1	0	0	0	0
SRR3719657_k141_1736150	SRR3719657	k141_1736150	NRPS	NRPS	7128	10566	1	0	0	0	0
SRR3719657_k141_797195	SRR3719657	k141_797195	RiPP	RRE-containing	3921	4563	0	0	1	0	0
SRR3719657_k141_1737308	SRR3719657	k141_1737308	RiPP	RRE-containing	18279	18549	0	0	1	0	0
SRR3719657_k141_1738913	SRR3719657	k141_1738913	other	phosphonate	1112	6401	0	0	0	1	0
SRR3719657_k141_329663	SRR3719657	k141_329663	RiPP	RiPP-like	51581	52421	0	0	1	0	0
SRR3719657_k141_1457573	SRR3719657	k141_1457573	RiPP	RRE-containing	22198	22447	0	0	1	0	0
SRR3719657_k141_52189	SRR3719657	k141_52189	NRPS	NRPS	4189	8275	1	0	0	0	0
SRR3719657_k141_1176383	SRR3719657	k141_1176383	PKS	HR-T2PKS	7797	10044	0	1	0	0	0
SRR3719657_k141_1458646	SRR3719657	k141_1458646	RiPP	RRE-containing	50551	50893	0	0	1	0	0
SRR3719657_k141_989890	SRR3719657	k141_989890	NRPS	NRPS	422	3914	1	0	0	0	0
SRR3719657_k141_804113	SRR3719657	k141_804113	RiPP	crocagin	5648	8547	0	0	1	0	0
SRR3719657_k141_711187	SRR3719657	k141_711187	PKS	T3PKS	4372	5539	0	1	0	0	0
SRR3719657_k141_1183203	SRR3719657	k141_1183203	terpene	terpene	4981	8041	0	0	0	0	1
SRR3719657_k141_810256	SRR3719657	k141_810256	PKS	arylpolyene	4550	5753	0	1	0	0	0
SRR3719657_k141_434990	SRR3719657	k141_434990	PKS	arylpolyene	6246	7467	0	1	0	0	0
SRR3719657_k141_1376079	SRR3719657	k141_1376079	terpene	terpene	2	482	0	0	0	0	1
SRR3719657_k141_1564926	SRR3719657	k141_1564926	other	phosphonate	0	21525	0	0	0	1	0
SRR3719657_k141_1564926	SRR3719657	k141_1564926	other	phosphonate	0	21525	0	0	0	1	0
SRR3719657_k141_342593	SRR3719657	k141_342593	NRPS	NRPS	6760	13699	1	0	0	0	0
