contigID	sample	contig	BGC category	BGC product	core start	core end	NRPS	PKS	RiPP	other	terpene
SRR5210996_k141_5468759	SRR5210996	k141_5468759	NRPS	NRPS	3688	13504	1	0	0	0	0
SRR5210996_k141_5468759	SRR5210996	k141_5468759	NRPS	NRPS	3688	13504	1	0	0	0	0
SRR5210996_k141_3876330	SRR5210996	k141_3876330	PKS	T1PKS	69	9863	0	1	0	0	0
SRR5210996_k141_6158010	SRR5210996	k141_6158010	NRPS	NRPS	1	14711	1	0	0	0	0
SRR5210996_k141_2972870	SRR5210996	k141_2972870	RiPP	RRE-containing	7340	8471	0	0	1	0	0
SRR5210996_k141_5480858	SRR5210996	k141_5480858	NRPS	NRPS-like	2774	7145	1	0	0	0	0
SRR5210996_k141_7075869	SRR5210996	k141_7075869	NRPS	NRPS	0	4395	1	0	0	0	0
SRR5210996_k141_2068050	SRR5210996	k141_2068050	RiPP	RiPP-like	34859	35819	0	0	1	0	0
SRR5210996_k141_6172719	SRR5210996	k141_6172719	terpene	terpene	567	1554	0	0	0	0	1
SRR5210996_k141_6174406	SRR5210996	k141_6174406	NRPS	NRPS	2	19755	1	0	0	0	0
SRR5210996_k141_23225	SRR5210996	k141_23225	NRPS	NRPS-like	201	1983	1	0	0	0	0
SRR5210996_k141_6857971	SRR5210996	k141_6857971	other	phosphonate	86014	117287	0	0	0	1	0
SRR5210996_k141_7088057	SRR5210996	k141_7088057	other	ectoine	27934	28324	0	0	0	1	0
SRR5210996_k141_5043008	SRR5210996	k141_5043008	NRPS	NRPS	6225	10140	1	0	0	0	0
SRR5210996_k141_5043008	SRR5210996	k141_5043008	NRPS	NRPS	6225	10140	1	0	0	0	0
SRR5210996_k141_4815180	SRR5210996	k141_4815180	NRPS	NRPS	1409	10490	1	0	0	0	0
SRR5210996_k141_4815180	SRR5210996	k141_4815180	NRPS	NRPS	1409	10490	1	0	0	0	0
SRR5210996_k141_3906047	SRR5210996	k141_3906047	RiPP	ranthipeptide	3668	13265	0	0	1	0	0
SRR5210996_k141_6189190	SRR5210996	k141_6189190	NRPS	NRPS	1167	10557	1	0	0	0	0
SRR5210996_k141_5275476	SRR5210996	k141_5275476	NRPS	NRPS	12720	15819	1	0	0	0	0
SRR5210996_k141_3910673	SRR5210996	k141_3910673	other	phosphonate	27576	47340	0	0	0	1	0
SRR5210996_k141_2316269	SRR5210996	k141_2316269	other	hydrogen-cyanide	11359	14613	0	0	0	1	0
SRR5210996_k141_499830	SRR5210996	k141_499830	NRPS	NRPS	4995	14448	1	0	0	0	0
SRR5210996_k141_499830	SRR5210996	k141_499830	NRPS	NRPS	4995	14448	1	0	0	0	0
SRR5210996_k141_1864562	SRR5210996	k141_1864562	NRPS	CDPS	1518	2247	1	0	0	0	0
SRR5210996_k141_4602965	SRR5210996	k141_4602965	PKS	T1PKS	14918	20744	0	1	0	0	0
SRR5210996_k141_6879294	SRR5210996	k141_6879294	NRPS	NRPS	1545	10599	1	0	0	0	0
SRR5210996_k141_2323625	SRR5210996	k141_2323625	other	hydrogen-cyanide	1	2449	0	0	0	1	0
SRR5210996_k141_6425388	SRR5210996	k141_6425388	RiPP	RRE-containing	5791	10392	0	0	1	0	0
SRR5210996_k141_6427574	SRR5210996	k141_6427574	NRPS	NRPS	2	44421	1	0	0	0	0
SRR5210996_k141_6427574	SRR5210996	k141_6427574	NRPS	NRPS	2	44421	1	0	0	0	0
SRR5210996_k141_6661326	SRR5210996	k141_6661326	NRPS	NRPS	3515	10796	1	0	0	0	0
SRR5210996_k141_6661326	SRR5210996	k141_6661326	NRPS	NRPS	3515	10796	1	0	0	0	0
SRR5210996_k141_4842032	SRR5210996	k141_4842032	PKS	T1PKS	150823	158497	0	1	0	0	0
SRR5210996_k141_60652	SRR5210996	k141_60652	RiPP	ranthipeptide	15626	16963	0	0	1	0	0
SRR5210996_k141_1432199	SRR5210996	k141_1432199	PKS	T1PKS	2	14899	0	1	0	0	0
SRR5210996_k141_1200625	SRR5210996	k141_1200625	RiPP	RiPP-like	9506	10469	0	0	1	0	0
SRR5210996_k141_3936559	SRR5210996	k141_3936559	NRPS	NRPS	1	14350	1	0	0	0	0
SRR5210996_k141_5304809	SRR5210996	k141_5304809	RiPP	RiPP-like	14406	15462	0	0	1	0	0
SRR5210996_k141_5306671	SRR5210996	k141_5306671	NRPS	NRPS	3785	15523	1	0	0	0	0
SRR5210996_k141_1890514	SRR5210996	k141_1890514	NRPS	CDPS	36798	37515	1	0	0	0	0
SRR5210996_k141_6225947	SRR5210996	k141_6225947	RiPP	RiPP-like	3823	4888	0	0	1	0	0
SRR5210996_k141_4179178	SRR5210996	k141_4179178	NRPS	NRPS	1	11070	1	0	0	0	0
SRR5210996_k141_2353797	SRR5210996	k141_2353797	NRPS	NRPS	7169	14051	1	0	0	0	0
SRR5210996_k141_2353797	SRR5210996	k141_2353797	NRPS	NRPS	7169	14051	1	0	0	0	0
SRR5210996_k141_2130962	SRR5210996	k141_2130962	PKS	arylpolyene	1135	2371	0	1	0	0	0
SRR5210996_k141_6685287	SRR5210996	k141_6685287	RiPP	RiPP-like	7711	8722	0	0	1	0	0
SRR5210996_k141_3046773	SRR5210996	k141_3046773	terpene	terpene	2357	3407	0	0	0	0	1
