contigID	sample	contig	BGC category	BGC product	core start	core end	NRPS	PKS	RiPP	other	terpene
SRR5208282_k141_2526204	SRR5208282	k141_2526204	PKS	HR-T2PKS	3764	6242	0	1	0	0	0
SRR5208282_k141_1544259	SRR5208282	k141_1544259	PKS	T1PKS	1	5824	0	1	0	0	0
SRR5208282_k141_4351873	SRR5208282	k141_4351873	PKS	T3PKS	43281	44346	0	1	0	0	0
SRR5208282_k141_2387847	SRR5208282	k141_2387847	PKS	T3PKS	6431	7364	0	1	0	0	0
SRR5208282_k141_704018	SRR5208282	k141_704018	terpene	terpene	9858	10122	0	0	0	0	1
SRR5208282_k141_3932062	SRR5208282	k141_3932062	NRPS	NRPS-like	31552	32842	1	0	0	0	0
SRR5208282_k141_3932062	SRR5208282	k141_3932062	NRPS	NRPS-like	31552	32842	1	0	0	0	0
SRR5208282_k141_2388204	SRR5208282	k141_2388204	PKS	T1PKS	3404	40336	0	1	0	0	0
SRR5208282_k141_2388204	SRR5208282	k141_2388204	PKS	T1PKS	3404	40336	0	1	0	0	0
SRR5208282_k141_2669010	SRR5208282	k141_2669010	other	hydrogen-cyanide	4387	9330	0	0	0	1	0
SRR5208282_k141_1406593	SRR5208282	k141_1406593	PKS	T3PKS	51511	52681	0	1	0	0	0
SRR5208282_k141_1126348	SRR5208282	k141_1126348	NRPS	NRPS-like	5596	7426	1	0	0	0	0
SRR5208282_k141_1126348	SRR5208282	k141_1126348	NRPS	NRPS-like	5596	7426	1	0	0	0	0
SRR5208282_k141_1687651	SRR5208282	k141_1687651	terpene	terpene	2243	11178	0	0	0	0	1
SRR5208282_k141_1828357	SRR5208282	k141_1828357	RiPP	RRE-containing	38546	38801	0	0	1	0	0
SRR5208282_k141_1828357	SRR5208282	k141_1828357	RiPP	RRE-containing	38546	38801	0	0	1	0	0
SRR5208282_k141_2951813	SRR5208282	k141_2951813	NRPS	NRPS-like	17068	21445	1	0	0	0	0
SRR5208282_k141_1127606	SRR5208282	k141_1127606	RiPP	RiPP-like	4879	5722	0	0	1	0	0
SRR5208282_k141_3513617	SRR5208282	k141_3513617	NRPS	NRPS-like	53995	56911	1	0	0	0	0
SRR5208282_k141_3514181	SRR5208282	k141_3514181	other	hydrogen-cyanide	5245	9203	0	0	0	1	0
SRR5208282_k141_1830426	SRR5208282	k141_1830426	terpene	terpene	17746	22752	0	0	0	0	1
SRR5208282_k141_988898	SRR5208282	k141_988898	RiPP	RiPP-like	730	1738	0	0	1	0	0
SRR5208282_k141_2814371	SRR5208282	k141_2814371	terpene	terpene	19924	21952	0	0	0	0	1
